geohash,median_distance_in_km,median_speed_kmh,avg_sd_ratio,search_got_estimates,search_for_quotes,search_got_quotes,fare_acceptance_rate,quote_acceptance_rate,completed_rides,conversion_rate
tf0zg,9.13,29.75,0,2,0,0,0,,0,
tf0zw,69.7,48.17,0,2,0,0,0,,0,
tf2f5,28.68,28.23,0,2,0,0,0,,0,
tf2be,3.4,17.73,0,2,1,0,0.5,0,0,0
tf2gv,39.89,31.47,0,2,0,0,0,,0,
tf2f7,43.42,25.27,0,2,0,0,0,,0,
tf28w,8.93,24.75,0,1,0,0,0,,0,
tf2ux,45.03,42.66,0,1,0,0,0,,0,
tf28q,69.41,35.08,0,1,0,0,0,,0,
tf1p2,62.37,42.88,0,1,0,0,0,,0,
tf35f,0.98,38.93,0,1,0,0,0,,0,
tf2bc,5.89,46.8,0,1,0,0,0,,0,
tf28t,65.2,38.09,0,1,0,0,0,,0,
tf1p0,16.35,30.52,0,1,0,0,0,,0,
tf2bm,49.76,42.08,0,1,0,0,0,,0,
tf2ds,9.85,36.45,0,1,0,0,0,,0,
tf2bq,10.16,48.34,0,1,0,0,0,,0,
tf2eh,70.36,40.98,0,1,0,0,0,,0,
tf2dz,15.67,32.99,0,1,0,0,0,,0,
tf2c8,38.44,41.49,0,1,0,0,0,,0,
tf0yb,14.38,46.96,0,1,0,0,0,,0,
tf2d7,10,10,0,1,0,0,0,,0,
tf2gd,23.46,34.03,0,1,0,0,0,,0,
tf29s,7.04,33.02,0,1,0,0,0,,0,
tf35k,43.38,34.29,0,1,0,0,0,,0,
tf28s,7.63,30.28,0,1,0,0,0,,0,
tf2gh,40.77,34.02,0,1,0,0,0,,0,
